,,,,,,,,,,,,,,,,,,,,
2.15583,,2.15583,0.887257,3.80743,2.63093,0.70152,4.21534,0.714911,3.09774,1.5053,3.09827,0.130247,0.782332,2.57426,3.6063,1.45956,3.37264,0.581297,0.52121,1.991243
16.8356,,3.97958,5.8558,4.75071,6.5879,4.45101,4.93151,3.83884,5.09011,4.21493,4.50577,5.29412,5.13636,5.60863,4.6422,4.23857,4.54033,5.16667,4.64421,4.85984722222222
3.97958,,8.40566,8.0066,5.50406,7.03416,5.26345,5.30609,5.13439,7.45503,7.83702,8.74326,6.832,7.20014,5.7474,6.94394,8.22903,10.7222,7.60366,6.87629,7.15802111111111
17.4708,,16.8356,9.87494,8.06048,14.4984,6.90428,5.44612,5.24943,7.98716,17.5342,9.97173,8.49733,11.403,6.32731,9.25128,18.289,10.8193,9.73049,10.6841,10.4091194444444
8.40566,,17.4708,25.5925,24.5128,21.8935,9.33314,6.91747,7.16463,14.7062,24.7925,18.9132,24.057,34.317,7.24154,17.6099,24.236,16.3964,23.4664,33.5207,19.5634266666667
,,,,,,,,,,,,,,,,,,,,
0.887257,,,,,,,,,,,,,,,,,,,,
9.87494,,,,,,,,,,,,,,,,,,,,
25.5925,,,,,,,,,,,,,,,,,,,,
8.0066,,,,,,,,,,,,,,,,,,,,
5.8558,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.75071,,,,,,,,,,,,,,,,,,,,
3.80743,,,,,,,,,,,,,,,,,,,,
8.06048,,,,,,,,,,,,,,,,,,,,
5.50406,,,,,,,,,,,,,,,,,,,,
24.5128,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
21.8935,,,,,,,,,,,,,,,,,,,,
2.63093,,,,,,,,,,,,,,,,,,,,
6.5879,,,,,,,,,,,,,,,,,,,,
7.03416,,,,,,,,,,,,,,,,,,,,
14.4984,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.70152,,,,,,,,,,,,,,,,,,,,
6.90428,,,,,,,,,,,,,,,,,,,,
4.45101,,,,,,,,,,,,,,,,,,,,
9.33314,,,,,,,,,,,,,,,,,,,,
